machine,person,rating
bell,1,52
bell,2,51.8
bell,2,52.8
bell,3,60
bell,4,51.1
bell,4,52.3
bell,5,50.9
bell,5,51.8
bell,5,51.4
bell,6,46.4
bell,6,44.8
bell,6,49.2
diamond,1,64
diamond,2,59.7
diamond,2,60
diamond,2,59
diamond,3,68.6
diamond,3,65.8
diamond,4,63.2
diamond,4,62.8
diamond,4,62.2
diamond,5,64.8
diamond,5,65
diamond,6,43.7
diamond,6,44.2
diamond,6,43
fruit,1,67.5
fruit,1,67.2
fruit,1,66.9
fruit,2,61.5
fruit,2,61.7
fruit,2,62.3
fruit,3,70.8
fruit,3,70.6
fruit,3,71
fruit,4,64.1
fruit,4,66.2
fruit,4,64
fruit,5,72.1
fruit,5,72
fruit,5,71.1
fruit,6,62
fruit,6,61.4
fruit,6,60.5