glycogen,diet,rat,liver,measure,liver_code
131,A,1,1,1,X
130,A,1,1,2,X
131,A,1,2,1,Y
125,A,1,2,2,Y
136,A,1,3,1,Z
142,A,1,3,2,Z
150,A,2,1,1,X
148,A,2,1,2,X
140,A,2,2,1,Y
143,A,2,2,2,Y
160,A,2,3,1,Z
150,A,2,3,2,Z
157,B,3,1,1,X
145,B,3,1,2,X
154,B,3,2,1,Y
142,B,3,2,2,Y
147,B,3,3,1,Z
153,B,3,3,2,Z
151,B,4,1,1,X
155,B,4,1,2,X
147,B,4,2,1,Y
147,B,4,2,2,Y
162,B,4,3,1,Z
152,B,4,3,2,Z
134,C,5,1,1,X
125,C,5,1,2,X
138,C,5,2,1,Y
138,C,5,2,2,Y
135,C,5,3,1,Z
136,C,5,3,2,Z
138,C,6,1,1,X
140,C,6,1,2,X
139,C,6,2,1,Y
138,C,6,2,2,Y
134,C,6,3,1,Z
127,C,6,3,2,Z